303.00 ,-5.43
303.00 ,-5.53
303.00 ,-6.66
301.00 ,-5.86
301.00 ,-6.37
301.00 ,-5.99
301.00 ,-5.84
301.00 ,-6.82
301.00 ,-6.52
301.00 ,-5.64
301.00 ,-6.83
301.00 ,-5.99
301.00 ,-6.24
300.00 ,-6.52
300.00 ,-6.11
300.00 ,-6.83
300.00 ,-6.68
300.00 ,-6.24
300.00 ,-5.33
300.00 ,-5.99
300.00 ,-5.64
300.00 ,-5.75
300.00 ,-6.11
298.00 ,-6.24
298.00 ,-5.99
298.00 ,-5.99
298.00 ,-5.75
298.00 ,-6.11
298.00 ,-6.11
298.00 ,-6.98
298.00 ,-5.87
298.00 ,-6.38
298.00 ,-6.24
296.00 ,-5.54
296.00 ,-5.42
296.00 ,-5.85
296.00 ,-5.52
296.00 ,-5.22
296.00 ,-5.74
296.00 ,-6.26
296.00 ,-5.85
296.00 ,-5.74
296.00 ,-6.09
295.00 ,-5.85
295.00 ,-5.63
295.00 ,-5.53
295.00 ,-5.65
295.00 ,-5.34
295.00 ,-5.76
295.00 ,-5.76
295.00 ,-5.88
295.00 ,-5.35
295.00 ,-6.25
293.00 ,-6.39
293.00 ,-6.00
293.00 ,-10.52
293.00 ,-5.86
293.00 ,-5.75
293.00 ,-5.10
293.00 ,-5.53
293.00 ,-5.05
293.00 ,-5.64
293.00 ,-5.54
292.00 ,-5.53
292.00 ,-5.43
292.00 ,-5.99
292.00 ,-5.86
292.00 ,-5.43
292.00 ,-5.75
292.00 ,-5.43
292.00 ,-5.15
292.00 ,-5.43
292.00 ,-5.64
290.00 ,-5.53
290.00 ,-5.33
290.00 ,-4.97
290.00 ,-4.51
290.00 ,-4.97
290.00 ,-4.66
290.00 ,-5.24
290.00 ,-5.90
290.00 ,-5.24
290.00 ,-6.11
289.00 ,-5.24
289.00 ,-5.33
289.00 ,-5.33
289.00 ,-5.15
289.00 ,-5.38
289.00 ,-5.15
289.00 ,-5.64
289.00 ,-5.87
289.00 ,-4.89
289.00 ,-5.15
287.00 ,-5.76
287.00 ,-5.15
287.00 ,-5.24
287.00 ,-5.86
287.00 ,-5.24
287.00 ,-4.90
287.00 ,-5.54
287.00 ,-4.97
287.00 ,-5.06
287.00 ,-5.25
286.00 ,-5.24
286.00 ,-5.99
286.00 ,-5.07
286.00 ,-4.90
286.00 ,-5.65
286.00 ,-4.66
286.00 ,-5.99
286.00 ,-5.07
286.00 ,-5.07
284.00 ,-5.65
284.00 ,-5.94
284.00 ,-4.90
284.00 ,-5.25
284.00 ,-5.16
284.00 ,-5.44
284.00 ,-5.25
284.00 ,-5.15
284.00 ,-5.45
284.00 ,-5.55
283.00 ,-5.55
283.00 ,-5.35
283.00 ,-5.25
283.00 ,-5.16
283.00 ,-4.82
283.00 ,-5.55
283.00 ,-4.99
283.00 ,-5.25
283.00 ,-5.16
283.00 ,-4.98
281.00 ,-5.54
281.00 ,-4.52
281.00 ,-5.66
281.00 ,-5.55
281.00 ,-4.67
281.00 ,-4.98
281.00 ,-5.35
281.00 ,-4.90
281.00 ,-5.76
281.00 ,-4.82
279.00 ,-4.90
279.00 ,-5.35
279.00 ,-4.51
279.00 ,-4.58
279.00 ,-4.65
279.00 ,-4.31
279.00 ,-5.43
279.00 ,-5.05
279.00 ,-4.80
279.00 ,-5.53
278.00 ,-4.97
278.00 ,-5.24
278.00 ,-5.98
278.00 ,-4.73
278.00 ,-4.89
278.00 ,-3.87
278.00 ,-5.07
