40378.00 ,597 ,15.01
40479.00 ,596 ,14.71
40580.00 ,596 ,16.53
40681.00 ,595 ,15.04
40782.00 ,594 ,15.68
40884.00 ,594 ,17.52
40985.00 ,593 ,14.92
41086.00 ,592 ,16.76
41188.00 ,592 ,14.33
41289.00 ,591 ,16.50
41391.00 ,590 ,16.31
41492.00 ,590 ,14.74
41592.00 ,589 ,15.85
41694.00 ,588 ,14.86
41795.00 ,588 ,16.17
41896.00 ,587 ,16.35
41998.00 ,586 ,16.53
42099.00 ,586 ,16.53
42201.00 ,585 ,15.65
42302.00 ,584 ,14.89
42403.00 ,583 ,15.29
42505.00 ,583 ,14.89
42605.00 ,582 ,16.76
42706.00 ,581 ,15.85
42808.00 ,581 ,17.27
42909.00 ,580 ,14.59
43011.00 ,579 ,15.01
43112.00 ,579 ,16.50
43213.00 ,578 ,14.89
43315.00 ,577 ,15.45
43416.00 ,577 ,14.83
43517.00 ,576 ,14.86
43618.00 ,575 ,15.85
43719.00 ,575 ,16.13
43821.00 ,574 ,17.52
43922.00 ,573 ,16.53
44023.00 ,573 ,16.76
44125.00 ,572 ,16.28
44226.00 ,571 ,15.65
44327.00 ,571 ,15.48
44429.00 ,570 ,15.45
44530.00 ,569 ,17.23
44631.00 ,569 ,16.53
44732.00 ,568 ,16.76
44833.00 ,567 ,15.82
44935.00 ,567 ,16.28
45036.00 ,566 ,14.86
45137.00 ,565 ,16.53
45239.00 ,565 ,16.31
45340.00 ,564 ,15.65
45442.00 ,563 ,14.89
45543.00 ,563 ,15.07
45644.00 ,562 ,16.35
45745.00 ,561 ,15.65
45846.00 ,561 ,16.53
45947.00 ,560 ,15.65
46049.00 ,559 ,15.85
46150.00 ,559 ,15.32
46252.00 ,558 ,13.79
46353.00 ,557 ,15.85
46454.00 ,556 ,15.85
46556.00 ,556 ,15.78
46657.00 ,555 ,15.82
46757.00 ,554 ,14.80
46859.00 ,554 ,17.19
46960.00 ,553 ,14.86
47062.00 ,552 ,14.83
47163.00 ,552 ,16.31
47264.00 ,551 ,14.98
47366.00 ,550 ,16.53
47467.00 ,550 ,15.07
47568.00 ,549 ,14.31
47670.00 ,548 ,14.86
47770.00 ,548 ,15.65
47872.00 ,547 ,17.48
47973.00 ,546 ,15.68
48074.00 ,546 ,15.65
48176.00 ,545 ,15.48
48277.00 ,544 ,15.45
48378.00 ,544 ,15.65
48480.00 ,543 ,16.72
48581.00 ,542 ,14.86
48681.00 ,542 ,14.89
48783.00 ,541 ,13.85
48884.00 ,540 ,15.07
48986.00 ,540 ,14.28
49087.00 ,539 ,15.01
49188.00 ,538 ,16.35
49290.00 ,538 ,15.07
49391.00 ,537 ,15.26
49492.00 ,536 ,14.14
49594.00 ,536 ,15.01
49694.00 ,535 ,17.27
49796.00 ,534 ,14.33
49897.00 ,534 ,16.31
49998.00 ,533 ,15.01
50100.00 ,532 ,13.90
50201.00 ,531 ,15.65
50302.00 ,531 ,14.89
50404.00 ,530 ,16.53
50505.00 ,529 ,16.35
50606.00 ,529 ,15.65
50707.00 ,528 ,16.95
50808.00 ,527 ,14.83
50910.00 ,527 ,15.62
51011.00 ,526 ,15.45
51112.00 ,525 ,15.23
51214.00 ,525 ,16.28
51315.00 ,524 ,15.07
51417.00 ,523 ,15.72
51518.00 ,523 ,13.51
51618.00 ,522 ,16.53
51720.00 ,521 ,16.50
51821.00 ,521 ,16.50
51922.00 ,520 ,16.35
52024.00 ,519 ,14.31
52125.00 ,519 ,15.65
52227.00 ,518 ,15.26
52328.00 ,517 ,15.99
52429.00 ,517 ,15.78
52531.00 ,516 ,15.48
52631.00 ,515 ,15.65
52732.00 ,515 ,15.65
52834.00 ,514 ,14.89
52935.00 ,513 ,16.31
53037.00 ,513 ,15.89
53138.00 ,512 ,15.65
53239.00 ,511 ,14.86
53341.00 ,511 ,15.16
53442.00 ,510 ,15.65
53543.00 ,509 ,16.06
53644.00 ,509 ,15.04
53745.00 ,508 ,16.50
53847.00 ,507 ,14.86
53948.00 ,507 ,14.86
54049.00 ,506 ,14.68
54151.00 ,505 ,14.33
54252.00 ,504 ,16.31
54353.00 ,504 ,16.53
54455.00 ,503 ,15.82
54556.00 ,502 ,14.86
